"HBID","dti_dtitk_jhutract_fa_atr_l","dti_dtitk_jhutract_fa_atr_r","dti_dtitk_jhutract_fa_cst_l","dti_dtitk_jhutract_fa_cst_r","dti_dtitk_jhutract_fa_cgc_l","dti_dtitk_jhutract_fa_cgc_r","dti_dtitk_jhutract_fa_cgh_l","dti_dtitk_jhutract_fa_cgh_r","dti_dtitk_jhutract_fa_forceps_mjor","dti_dtitk_jhutract_fa_forceps_minor","dti_dtitk_jhutract_fa_ifo_l","dti_dtitk_jhutract_fa_ifo_r","dti_dtitk_jhutract_fa_ilf_l","dti_dtitk_jhutract_fa_ilf_r","dti_dtitk_jhutract_fa_slf_l","dti_dtitk_jhutract_fa_slf_r","dti_dtitk_jhutract_fa_uf_l","dti_dtitk_jhutract_fa_uf_r"
666185463,0.37753,0.35631,0.54288,0.54899,0.53925,0.50558,0.36698,0.41123,0.58441,0.44054,0.43476,0.44407,0.45552,0.48325,0.36191,0.38273,0.39995,0.4238
379180764,0.37259,0.37655,0.53479,0.53272,0.58887,0.5792,0.43131,0.41355,0.54605,0.45439,0.42957,0.44918,0.48022,0.50708,0.36864,0.3815,0.40303,0.40423
2716317602,0.38575,0.37499,0.58278,0.57255,0.54485,0.51131,0.41916,0.37437,0.56965,0.44727,0.44009,0.45933,0.48882,0.52013,0.40888,0.4004,0.41806,0.43625
1343122718,0.39044,0.37883,0.55466,0.54093,0.54243,0.50003,0.38445,0.34182,0.63826,0.43424,0.44858,0.44708,0.46598,0.47493,0.34628,0.36674,0.44044,0.44528
25535893,0.39293,0.36341,0.56486,0.54094,0.52959,0.48263,0.40854,0.42459,0.59082,0.42632,0.41151,0.4349,0.45927,0.50331,0.37787,0.40239,0.40282,0.40236
429918668,,,,,,,,,,,,,,,,,,
248793696,0.40871,0.39344,0.5415,0.53568,0.57198,0.4732,0.4533,0.40762,0.61349,0.45527,0.46597,0.4516,0.47663,0.49154,0.36413,0.38225,0.42045,0.44745
2761175367,0.39388,0.38011,0.5518,0.55667,0.60404,0.57903,0.36431,0.43613,0.53072,0.46509,0.48441,0.49041,0.4799,0.4987,0.38362,0.4099,0.43968,0.42835
2969014077,0.39128,0.36092,0.57371,0.56738,0.54266,0.4946,0.39769,0.37077,0.58706,0.45578,0.42844,0.43972,0.45335,0.47792,0.37301,0.38866,0.41534,0.41206
4163447383,,,,,,,,,,,,,,,,,,
561946273,0.41451,0.38981,0.58612,0.59129,0.65877,0.62003,0.38483,0.36915,0.63332,0.46679,0.45644,0.48155,0.45911,0.52342,0.38972,0.42313,0.4554,0.47055
1565165476,,,,,,,,,,,,,,,,,,
591080700,0.37663,0.35143,0.56555,0.5493,0.48607,0.47254,0.37593,0.36797,0.59671,0.41314,0.43124,0.43458,0.44513,0.47838,0.35191,0.39939,0.37276,0.38935
1055786393,0.37211,0.35582,0.5311,0.53934,0.54282,0.51017,0.40148,0.39183,0.51257,0.42599,0.42681,0.42873,0.44027,0.45612,0.36059,0.36914,0.42241,0.423
361032043,0.39151,0.35601,0.53022,0.53809,0.58153,0.57438,0.38856,0.39829,0.62023,0.45741,0.4403,0.43474,0.46059,0.49038,0.38089,0.39301,0.41643,0.38801
735501373,0.39541,0.38193,0.55985,0.56775,0.49475,0.43913,0.45382,0.41583,0.58486,0.43892,0.42706,0.44176,0.46876,0.49869,0.3507,0.37758,0.3912,0.36736
857543307,0.3693,0.34608,0.5514,0.53657,0.5346,0.54295,0.45996,0.35223,0.58164,0.43535,0.40243,0.40842,0.42387,0.44216,0.34306,0.35673,0.39664,0.4112
